consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,74","426,84",0.02,4886,715,104,0.362,3965.88
"-1,722","447,72",0.01,4634,419,104,1.746,3436.09
"-1,694","480,29",0.01,4570,220,99,3.598,3198.48
"-1,676","471,96",0.01,4629,93,104,4.883,3153.42
"-1,646","452,37",0.01,4891,55,100,5.627,3405.20
"-1,645","448,15",0.02,4792,41,96,5.112,3289.71
"-1,644","443,39",0.00,4885,38,101,3.959,3383.71
"-1,668","442,63",0.02,5024,45,90,2.387,3493.98
"-1,671","442,53",0.02,4995,45,66,1.045,3436.12
"-1,697","442,31",0.02,5001,58,76,0.184,3437.29
"-1,738","443,39",0.03,5106,80,73,0.016,3520.27
"-1,742","443,28",0.02,5066,95,67,0.011,3486.87
"-1,724","438,09",0.02,4951,103,68,0.009,3399.19
"-1,722","417,64",0.03,4766,104,50,0.009,3197.96
"-1,683","403,68",0.03,4536,131,48,0.009,3032.18
"-1,63","387,45",0.02,3995,183,49,0.009,2596.11
"-1,588","388,17",0.03,3457,213,48,0.008,2129.72
"-1,559","379,8",0.03,3205,234,47,0.010,1926.49
"-1,562","373,7",0.04,3071,285,48,0.008,1841.82
"-1,569","370,22",0.03,3035,298,48,0.008,1812.50
"-1,582","374,36",0.02,3226,360,50,0.008,2053.33
"-1,642","392,74",0.01,3741,469,52,0.009,2619.72
"-1,773","401,55",0.02,4398,483,55,0.008,3163.29
"-1,848",412,0.01,4667,478,59,0.015,3355.22
"-1,879","453,45",0.01,4731,472,58,0.073,3382.24
"-1,881","450,19",0.01,4607,416,55,0.346,3197.90
"-1,851","436,91",0.00,4506,340,55,0.893,3051.36
"-1,825","421,36",0.00,4527,317,53,1.550,3074.65
"-1,798","408,41",0.01,4437,327,53,2.081,3021.68
"-1,775","401,99",0.01,4453,319,52,1.678,3050.67
"-1,767","397,53",0.00,4398,331,51,1.296,3015.18
"-1,79","397,42",0.00,4406,358,51,0.717,3026.22
"-1,807","408,63",0.02,4571,428,53,0.243,3244.88
"-1,821","425,49",0.01,4559,592,52,0.039,3382.18
"-1,845","439,74",0.01,4432,790,53,0.008,3429.76
"-1,831","438,98",0.02,4278,811,62,0.010,3320.39
"-1,782","412,11",0.02,4132,763,65,0.008,3177.98
"-1,744","390,89",0.02,4054,670,64,0.009,3043.43
"-1,703","379,69",0.02,3662,601,74,0.007,2634.24
"-1,652","365,76",0.03,3322,567,77,0.009,2313.38
"-1,599","371,35",0.01,3074,519,75,0.008,2068.42
"-1,575","370,26",0.01,2847,436,75,0.009,1783.54
"-1,559","368,09",0.03,2753,367,75,0.008,1636.28
"-1,565","368,09",0.03,2783,346,76,0.008,1640.15
"-1,586","370,15",0.03,2893,371,76,0.009,1754.25
"-1,645","380,91",0.03,3233,386,77,0.009,2051.36
"-1,783","397,1",0.03,3879,384,91,0.008,2571.59
"-1,855","420,25",0.02,4352,379,100,0.015,2975.69
"-1,856","428,51",0.01,4415,396,99,0.119,3052.97
"-1,837","426,88",0.00,4443,322,98,0.568,3028.00
"-1,826","426,01",0.00,4529,256,97,1.056,3056.86
"-1,805","425,9",0.01,4546,231,95,1.504,3067.93
"-1,777","411,66",0.01,4413,194,92,1.983,2924.41
"-1,758","400,91",0.01,4396,186,93,1.940,2918.86
"-1,752","398,51",0.01,4321,185,91,1.418,2846.58
"-1,769","395,8",0.01,4317,181,93,0.637,2822.83
"-1,778","396,88",0.01,4334,172,93,0.305,2821.63
